input_id,resolved_siret,official_name,confidence_score,match_method,alternatives,found_website,found_address,found_phone,found_email,country,city,postal_code,search_method,error
40DELICE0000,49386706300015,DELICE D'AGRUMES,0.95,STRICT_LOCAL,[],,,,,,,,,
40DELMONTE00,32049748000097,DEL MONTE (FRANCE),1.0,DIRECT_ID,[],,,,,,,,,
40DELTASTOCK,34807016000026,DELTA STOCKS,1.0,DIRECT_ID,[],,,,,,,,,
40DEPANNCOLI,42344315900029,DEPANN'COLIS,1.0,DIRECT_ID,[],,,,,,,,,
40DERICHE000,60204463801139,DERICHEBOURG INTERIM,1.0,DIRECT_ID,[],,,,,,,,,
40DERICHEMAR,60204463800511,DERICHEBOURG INTERIM,1.0,DIRECT_ID,[],,,,,,,,,
40DESMET0000,39275172300033,SAS ETS PIERRE DESMETTRE ET FILS,1.0,DIRECT_ID,[],,,,,,,,,
40DESTRUCTFR,89479721600013,,1.0,DIRECT_ID,[],,,,,,,,,
40DHL0000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40DIEPPE0000,84840121200016,GARAGE DIEPPEDALLE,0.6,CALCULATED,[],,,,,,,,,
40DIFAX00000,31037088700153,TIDF,1.0,DIRECT_ID,[],,,,,,,,,
40DIGIPOP000,90966548100034,DIGIPOP CONSEIL,0.6,CALCULATED,[],,,,,,,,,
40DIPS000000,98100381700013,DIPS,1.0,DIRECT_ID,[],,,,,,,,,
40DIRECTMEDI,,,0.0,NOT_FOUND,[],,,,,,,,,
40DISPAC0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40DISPERE000,,,0.0,NOT_FOUND,[],,,,,,,,,
40DIXSEPT680,,,0.0,NOT_FOUND,[],,,,,,,,,
40DLP0000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40DOLE000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40DREAM00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40DREVIN0000,48395229700016,SNDE SOCIETE NOUVELLE DREVIN EXOTICS,1.0,DIRECT_ID,[],,,,,,,,,
